"x" "y"
"1" -0.445658016934015 -1.19053978175731
"2" -2.17098601913186 -3.87077641788029
"3" -0.442242466055094 -2.33075881454657
"4" -1.415301488069 0.260796206467521
"5" -1.11734370308323 -4.06594868372374
"6" -0.706462900772852 -5.88412995677569
"7" -2.91045282641929 -4.0593531760844
"8" -0.525440480353425 -6.13332492354083
"9" -2.12615952003281 -5.19188147208025
"10" -3.02704578919959 -7.50564388741884
"11" -2.61947183224126 -11.0349716069634
"12" -2.16639632995116 -11.1608879496453
"13" -2.68059245848629 -13.7323773269267
"14" -6.06727174463741 -14.3028669978076
"15" -5.25285362100089 -13.8880594687504
"16" -3.90118192562581 -13.4160272298295
"17" -4.06977272740902 -11.3823027990426
"18" -4.98963542290472 -13.1671860515581
"19" -7.61566812735357 -15.5867489049213
"20" -6.22167545263507 -17.5654373567028
"21" -5.1924285746806 -11.599454905613
"22" -3.87022909365012 -10.7368409446919
"23" -5.13362009540741 -13.4169033093119
"24" -4.76595246169574 -13.899255659746
"25" -5.02219239977397 -10.0473180719956
"26" -5.24399299537792 -15.594938281067
"27" -6.37198071546265 -17.6872002925791
"28" -4.20603866578617 -18.0411806985657
"29" -5.63689364931248 -18.8469083876056
"30" -6.59772978469676 -18.1213611551003
"31" -8.34042637762318 -23.6960605874815
"32" -5.18482334948867 -19.2816021333741
"33" -8.04924309033938 -17.5846335609649
"34" -8.36285686191215 -22.3151848561088
"35" -8.35759921781452 -24.167851125883
"36" -9.85698266674008 -26.1963380901394
"37" -10.7224221281307 -30.1792945916099
"38" -10.2755923400542 -33.2046442299106
"39" -12.741778440766 -36.8247236568616
"40" -13.5868968804467 -37.8133193362591
"41" -12.5720217626368 -41.1564476787602
"42" -11.8865133209679 -35.8932370079709
"43" -14.1591578511581 -38.4359608267876
"44" -14.1843179532654 -42.9535170302767
"45" -13.3141185999687 -40.9157198002052
"46" -12.6930078307331 -43.6293566403662
"47" -13.8361915201141 -47.3128014877565
"48" -15.4662017815919 -49.1206173711213
"49" -17.3186476750236 -49.8687608071866
"50" -19.45043646954 -52.3898242448925
"51" -18.8529740470244 -55.6435907346238
"52" -19.7823593441309 -58.6097124298512
"53" -19.5423995499817 -58.350973349266
"54" -20.8603244943207 -62.7267015707565
"55" -21.6733754727459 -65.7064952924161
"56" -20.023172037941 -64.4198001949495
"57" -21.0234395899068 -64.698548809637
"58" -20.3733872357229 -60.5091395819482
"59" -21.1400369881868 -61.2787485981387
"60" -19.3314666116054 -56.5012303094415
"61" -21.1663697942343 -61.8844578715696
"62" -18.4595775364012 -59.7121827941146
"63" -18.0761107873426 -53.4347615892447
"64" -18.344935492573 -52.5550181498709
"65" -19.225102856082 -53.5158636282282
"66" -17.4222806649931 -53.3834147119557
"67" -18.2137735019013 -51.0367354525002
"68" -18.316132207219 -52.6109661418691
"69" -16.4406143514015 -51.1329945034404
"70" -15.7978010937588 -47.606257749699
"71" -15.1695101370192 -47.457845854315
"72" -16.7309796778049 -47.3447746688438
"73" -16.2092367232952 -46.7462638920275
"74" -17.7764901180131 -47.4834286935884
"75" -16.3958885316389 -46.443975937049
"76" -12.7492838820509 -42.4548174754693
"77" -13.767421671424 -41.7638564908287
"78" -15.0475267785699 -46.6034356778691
"79" -16.6453055169038 -48.8908022431857
"80" -16.0618895828079 -47.0179525355511
"81" -16.775087588038 -47.6882796654798
"82" -15.8474239849275 -48.6525955897627
"83" -15.2718108900851 -50.114975658753
"84" -16.8355911895522 -51.8290233936229
"85" -17.8914314894781 -51.2887431638704
"86" -16.0408426219931 -48.9947144962408
"87" -15.6476344673638 -46.5111747707383
"88" -14.7523341431095 -46.7448621000024
"89" -16.3583582520546 -45.4767169468971
"90" -17.2503710553535 -47.7603168276688
"91" -17.1111970511416 -51.2367825658139
"92" -16.7663773457248 -53.1374833255252
"93" -15.3059045088564 -48.1645893038251
"94" -15.569889561494 -45.0899803574658
"95" -14.2719770178302 -43.4633563208092
"96" -15.1787463849753 -44.1679945967833
"97" -12.6546452083375 -43.3887562174333
"98" -14.3807613245441 -46.2969802461557
"99" -15.2484709297598 -44.1066641546845
"100" -14.3652371696111 -41.6513676553438
"101" -12.5626247996349 -38.3129230160053
"102" -12.0960664834786 -36.8964995588471
"103" -13.1541907571791 -37.649764038426
"104" -12.4556001644786 -38.4645069814812
"105" -13.6340541842271 -36.6396419936613
